Date,Open,High,Low,Close,Adj_Close,Volume,Percent_Change,Adj_Percent_Change,Intraday_Range_%,Gap_%,Year,Month,Quarter,Month_Name
2015-02-01,89.5,90.9000015258789,85.4010009765625,89.20378112792969,89.20378112792969,12401060,-0.3109241225603965,-0.3109241225603965,6.164537511509891,0.020113253218525508,2015,2,1,February
2015-03-01,89.62000274658203,91.5,83.31500244140625,85.0780029296875,85.0780029296875,12107350,-4.625115825892278,-4.625115825892278,9.620580263688396,0.4665963857018891,2015,3,1,March
2015-04-01,85.19999694824219,88.66999816894531,81.80699920654297,82.2750015258789,82.2750015258789,10808600,-3.294625293596898,-3.294625293596898,8.341536110751266,0.14339078769339372,2015,4,2,April
2015-05-01,82.89800262451172,85.02999877929688,80.5,84.6449966430664,84.6449966430664,11740310,2.880577421128372,2.880577421128372,5.351762016601066,0.757217972748202,2015,5,2,May
2015-06-01,84.6449966430664,84.9990005493164,80.10099792480469,84.375,84.375,10312670,-0.31897531310083327,-0.31897531310083327,5.805040147569445,0.0,2015,6,2,June
2015-07-01,84.4000015258789,87.56999969482422,84.09500122070312,86.4229965209961,86.4229965209961,12978750,2.4272551359953765,2.4272551359953765,4.020918753120135,0.029631438078703703,2015,7,3,July
2015-08-01,86.30000305175781,87.25,77.69999694824219,80.85900115966797,80.85900115966797,15574180,-6.438095860256798,-6.438095860256798,11.810686398289697,-0.14231567313035776,2015,8,3,August
2015-09-01,80.5009994506836,81.5999984741211,76.41200256347656,80.1989974975586,80.1989974975586,18352810,-0.8162401867988667,-0.8162401867988667,6.468903692720677,-0.4427481218540507,2015,9,3,September
2015-10-01,80.39800262451172,84.19999694824219,80.0999984741211,81.86100006103516,81.86100006103516,6996340,2.0723483027667022,2.0723483027667022,5.0084881336218166,0.24813917026728802,2015,10,4,October
2015-11-01,81.86100006103516,82.29900360107422,78.37000274658203,80.33100128173828,80.33100128173828,7045150,-1.869020385966591,-1.869020385966591,4.8910144175999095,0.0,2015,11,4,November
2015-12-01,80.3499984741211,80.697998046875,76.43499755859375,80.3010025024414,80.3010025024414,15680690,-0.03734396287637942,-0.03734396287637942,5.308776173935863,0.023648643835753044,2015,12,4,December
2016-01-01,80.19999694824219,80.75,73.5,76.22899627685547,76.22899627685547,18197370,-5.070928255798723,-5.070928255798723,9.510816558135941,-0.12578367772699706,2016,1,1,January
2016-02-01,76.4000015258789,76.69999694824219,69.45999908447266,70.83799743652344,70.83799743652344,21583740,-7.072110487658145,-7.072110487658145,10.220500473996536,0.22433097295727852,2016,2,1,February
2016-03-01,71.03500366210938,80.0,71.03500366210938,79.12699890136719,79.12699890136719,31904780,11.701349226128777,11.701349226128777,11.32988292537874,0.27810812376856214,2016,3,1,March
2016-04-01,79.0,80.83000183105469,76.0,79.51699829101562,79.51699829101562,8994440,0.49287777252182696,0.49287777252182696,6.074175251658631,-0.1605000861027135,2016,4,2,April
2016-05-01,79.30000305175781,83.0999984741211,78.0,82.66799926757812,82.66799926757812,8444580,3.962675961472395,3.962675961472395,6.169253543458239,-0.272891638167295,2016,5,2,May
2016-06-01,82.69999694824219,84.44999694824219,80.94999694824219,84.28800201416016,84.28800201416016,9418730,1.959649151951104,1.959649151951104,4.152429665389398,0.038706247819658784,2016,6,2,June
2016-07-01,84.5,88.27999877929688,84.30000305175781,88.11100006103516,88.11100006103516,11542050,4.535637285877003,4.535637285877003,4.51702480369317,0.25151620725833396,2016,7,3,July
2016-08-01,88.10299682617188,89.75,84.43000030517578,89.61699676513672,89.61699676513672,5447050,1.709203962114092,1.709203962114092,5.936373552850227,-0.009083127938324782,2016,8,3,August
2016-09-01,89.75,91.5,87.5,87.85800170898438,87.85800170898438,6578590,-1.962791791340901,-1.962791791340901,4.552801022323911,0.14841295698833648,2016,9,3,September
2016-10-01,88.0989990234375,91.87000274658203,86.80000305175781,88.17900085449219,88.17900085449219,5358810,0.3653613094582786,0.3653613094582786,5.749667886564551,0.27430320490487614,2016,10,4,October
2016-11-01,88.0999984741211,94.98999786376953,66.28099822998047,83.91799926757812,83.91799926757812,23164940,-4.832218040149172,-4.832218040149172,34.2107770494486,-0.089593190675248,2016,11,4,November
2016-12-01,84.0,84.3499984741211,80.65499877929688,83.48899841308594,83.48899841308594,10022700,-0.5112143500040967,-0.5112143500040967,4.425732449851824,0.09771530915603721,2016,12,4,December
2017-01-01,84.0,88.35900115966797,83.0,87.22799682617188,87.22799682617188,7451890,4.478432469133442,4.478432469133442,6.143671016941266,0.6120585905052238,2017,1,1,January
2017-02-01,87.5,91.45500183105469,87.04000091552734,90.66500091552734,90.66500091552734,5142650,3.9402533755357627,3.9402533755357627,4.86957576897926,0.3118301276253924,2017,2,1,February
2017-03-01,90.7300033569336,98.125,90.5999984741211,93.8270034790039,93.8270034790039,31960140,3.48756690183305,3.48756690183305,8.020080836923253,0.07169518640033194,2017,3,1,March
2017-04-01,94.0999984741211,96.0,92.70099639892578,94.98799896240234,94.98799896240234,4756190,1.2373788358894355,1.2373788358894355,3.4730741115833097,0.2909556790634125,2017,4,2,April
2017-05-01,95.0999984741211,98.5,94.69100189208984,98.22200012207031,98.22200012207031,6050970,3.4046418442271076,3.4046418442271076,3.877948018953323,0.11790911793297286,2017,5,2,May
2017-06-01,98.4000015258789,99.4000015258789,96.81999969482422,97.5979995727539,97.5979995727539,4475020,-0.6352961134378221,-0.6352961134378221,2.643498680658346,0.18122355845673432,2017,6,2,June
2017-07-01,97.69999694824219,103.87999725341797,97.61799621582031,103.427001953125,103.427001953125,11728470,5.9724609171173615,5.9724609171173615,6.054512766826316,0.10450764968010216,2017,7,3,July
2017-08-01,102.4020004272461,104.39900207519531,96.6259994506836,102.15299987792969,102.15299987792969,10024080,-1.2317886539655376,-1.2317886539655376,7.60917705187343,-0.9910386132467184,2017,8,3,August
2017-09-01,102.19999694824219,105.0,100.0,100.99800109863281,100.99800109863281,8704630,-1.1306557621186597,-1.1306557621186597,4.950593027199708,0.04600654936091974,2017,9,3,September
